0[0, 11, 9, 10, 8, 7, 6, 5, 4, 3, 2, 1]null
f[7, 11, 9, 10, 8, 0, 6, 5, 4, 3, 2, 1]DOWN-Right
c[7, 11, 0, 10, 8, 9, 6, 5, 4, 3, 2, 1]UP-Right
b[7, 0, 11, 10, 8, 9, 6, 5, 4, 3, 2, 1]LEFT
g[7, 6, 11, 10, 8, 9, 0, 5, 4, 3, 2, 1]DOWN-Right
j[7, 6, 11, 10, 8, 9, 3, 5, 4, 0, 2, 1]DOWN-Left
i[7, 6, 11, 10, 8, 9, 3, 5, 0, 4, 2, 1]LEFT
f[7, 6, 11, 10, 8, 0, 3, 5, 9, 4, 2, 1]UP-Right
k[7, 6, 11, 10, 8, 2, 3, 5, 9, 4, 0, 1]DOWN-Right
h[7, 6, 11, 10, 8, 2, 3, 0, 9, 4, 5, 1]UP-Right
d[7, 6, 11, 0, 8, 2, 3, 10, 9, 4, 5, 1]UP
g[7, 6, 11, 3, 8, 2, 0, 10, 9, 4, 5, 1]DOWN-Left
j[7, 6, 11, 3, 8, 2, 4, 10, 9, 0, 5, 1]DOWN-Left
k[7, 6, 11, 3, 8, 2, 4, 10, 9, 5, 0, 1]Right
h[7, 6, 11, 3, 8, 2, 4, 0, 9, 5, 10, 1]UP-Right
c[7, 6, 0, 3, 8, 2, 4, 11, 9, 5, 10, 1]UP-LEFT
f[7, 6, 2, 3, 8, 0, 4, 11, 9, 5, 10, 1]DOWN-Left
e[7, 6, 2, 3, 0, 8, 4, 11, 9, 5, 10, 1]LEFT
j[7, 6, 2, 3, 5, 8, 4, 11, 9, 0, 10, 1]DOWN-Right
k[7, 6, 2, 3, 5, 8, 4, 11, 9, 10, 0, 1]Right
l[7, 6, 2, 3, 5, 8, 4, 11, 9, 10, 1, 0]Right
g[7, 6, 2, 3, 5, 8, 0, 11, 9, 10, 1, 4]UP-LEFT
f[7, 6, 2, 3, 5, 0, 8, 11, 9, 10, 1, 4]LEFT
k[7, 6, 2, 3, 5, 1, 8, 11, 9, 10, 0, 4]DOWN-Right
h[7, 6, 2, 3, 5, 1, 8, 0, 9, 10, 11, 4]UP-Right
l[7, 6, 2, 3, 5, 1, 8, 4, 9, 10, 11, 0]DOWN
g[7, 6, 2, 3, 5, 1, 0, 4, 9, 10, 11, 8]UP-LEFT
b[7, 0, 2, 3, 5, 1, 6, 4, 9, 10, 11, 8]UP-LEFT
a[0, 7, 2, 3, 5, 1, 6, 4, 9, 10, 11, 8]LEFT
f[1, 7, 2, 3, 5, 0, 6, 4, 9, 10, 11, 8]DOWN-Right
g[1, 7, 2, 3, 5, 6, 0, 4, 9, 10, 11, 8]Right
b[1, 0, 2, 3, 5, 6, 7, 4, 9, 10, 11, 8]UP-LEFT
c[1, 2, 0, 3, 5, 6, 7, 4, 9, 10, 11, 8]Right
d[1, 2, 3, 0, 5, 6, 7, 4, 9, 10, 11, 8]Right
h[1, 2, 3, 4, 5, 6, 7, 0, 9, 10, 11, 8]DOWN
l[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0]DOWN
